Ticker,MarketCap_Cr,EPS_TTM,NI_CAGR_4Y_pct,Rev_CAGR_3Y_pct,DivYield_pct,ROE_pct,OPM_pct,FCF_Cr
RELIANCE.NS,1920799.13,61.46,5.66,4.83,39.0,16.04,11.85,38736.0
HDFCBANK.NS,1403156.17,44.77,20.39,40.27,121.0,14.02,34.79,112922.01
BHARTIARTL.NS,1204527.67,50.62,99.05,11.5,81.0,23.12,32.16,58652.3
SBIN.NS,1122535.42,91.82,29.91,13.71,131.0,15.97,29.68,42849.07
ICICIBANK.NS,997868.02,73.21,26.67,22.88,79.0,16.8,33.97,118035.25
TCS.NS,971890.6,131.89,8.2,6.42,235.0,42.63,25.18,44971.0
LT.NS,602600.37,127.91,20.15,18.29,78.0,20.87,10.68,4741.88
INFY.NS,547462.79,69.69,2.15,2.88,333.0,32.68,18.02,408.8
HINDUNILVR.NS,543891.86,43.05,6.27,2.27,186.0,288.36,20.99,10611.0
AXISBANK.NS,425046.07,84.29,25.72,16.62,7.0,13.63,47.46,41938.14
KOTAKBANK.NS,419053.33,18.92,22.32,21.29,12.0,14.13,33.46,15702.89
SUNPHARMA.NS,413741.32,45.52,49.47,9.66,96.0,20.14,26.17,11943.51
ITC.NS,409705.83,16.25,8.98,3.09,439.0,29.71,32.18,15348.34
HCLTECH.NS,388666.99,60.62,8.81,7.41,376.0,23.19,18.56,21153.0
ADANIPORTS.NS,348243.41,57.74,31.43,20.89,46.0,19.41,45.36,9177.36
HAL.NS,278879.17,133.02,18.08,6.87,120.0,25.92,15.11,11886.54
EICHERMOT.NS,217709.46,195.24,41.34,14.36,88.0,23.64,22.01,2940.59
TVSMOTOR.NS,181254.27,46.18,42.84,15.96,26.0,38.78,13.14,1024.86
BANKBARODA.NS,159820.94,37.64,38.19,11.76,270.0,12.81,41.84,28559.09
PIDILITIND.NS,149084.94,22.41,19.8,5.56,68.0,30.15,21.39,1834.29
PNB.NS,148961.15,15.49,68.53,12.65,224.0,12.71,44.09,20473.87
UNIONBANK.NS,148115.2,24.81,50.72,12.21,245.0,15.56,46.39,15810.21
BRITANNIA.NS,146893.53,100.02,12.63,4.74,123.0,51.67,18.02,2105.8
IRFC.NS,146210.45,5.36,2.21,6.97,237.0,12.9,97.52,8228.75
TRENT.NS,145429.92,46.23,144.49,44.22,12.0,28.93,13.36,392.71
LTIM.NS,144943.68,160.38,5.21,7.02,137.0,20.97,16.11,3596.2
TORNTPHARM.NS,143558.4,67.02,34.98,9.36,83.0,63.95,26.7,1973.24
CANBK.NS,139824.08,22.27,42.01,13.29,259.0,18.21,80.1,60668.58
CUMMINSIND.NS,131223.7,80.95,28.9,15.64,113.0,26.96,22.92,1446.82
INDIANB.NS,127562.77,85.49,39.57,12.01,172.0,15.75,47.53,16856.46
ABB.NS,126876.91,83.22,52.12,19.26,66.0,22.39,14.24,1117.85
GODREJCP.NS,123393.07,17.85,1.91,4.03,166.0,65.07,19.86,1977.41
IDBI.NS,121331.14,8.64,44.41,9.53,186.0,14.73,49.5,25446.03
SOLARINDS.NS,120315.58,160.88,39.94,4.27,8.0,28.78,25.32,1461.61
POLYCAB.NS,118592.44,173.9,34.16,25.71,44.0,25.96,11.34,838.8
HDFCAMC.NS,116315.73,66.81,20.87,27.07,166.0,30.32,82.41,2030.01
TATACONSUM.NS,114412.68,14.8,10.96,13.21,71.0,98.29,10.98,1597.11
CGPOWER.NS,112173.32,7.19,15.71,19.31,18.0,29.81,10.92,517.1
BSE.NS,111259.06,52.87,73.17,90.43,22.0,30.48,81.72,260.94
APOLLOHOSP.NS,109499.21,125.66,11.06,14.55,26.0,20.98,11.52,423.7
HEROMOTOCO.NS,109349.06,272.16,23.63,9.85,320.0,24.26,13.04,3440.76
CIPLA.NS,108331.47,56.19,27.96,9.9,97.0,20.12,14.03,3456.78
LODHA.NS,106980.8,33.42,31.98,21.01,40.0,16.9,28.2,1091.4
DRREDDY.NS,106602.03,67.86,33.87,15.06,62.0,16.1,16.42,1203.0
MAXHEALTH.NS,105950.52,14.58,21.15,24.07,14.0,32.16,20.66,493.78
BOSCHLTD.NS,103891.68,933.2,18.26,10.01,145.0,14.59,10.52,2058.0
MARICO.NS,102095.75,13.24,9.97,5.25,133.0,75.03,15.32,1202.0
LUPIN.NS,101436.17,101.43,176.23,16.79,54.0,26.31,26.46,1317.51
UNITDSPR.NS,100330.45,24.28,24.06,6.69,87.0,20.35,14.05,1785.0
ICICIGI.NS,96797.56,54.6,25.43,15.8,67.0,17.27,12.57,916.15
INDHOTEL.NS,96074.56,14.11,37.94,20.02,33.0,19.43,33.92,1077.52
MAZDOCK.NS,95205.75,59.71,58.09,21.5,81.0,30.48,23.99,1273.34
GVT&D.NS,93421.14,41.59,236.0,24.92,14.0,34.31,26.05,816.21
ZYDUSLIFE.NS,90666.26,49.09,26.39,15.65,122.0,29.22,18.83,5064.1
DABUR.NS,90404.99,10.4,0.54,4.17,157.0,18.31,17.34,1417.21
PERSISTENT.NS,79621.53,110.5,26.58,19.57,86.0,24.97,16.75,920.23
