Ticker,MarketCap_Cr,EPS_TTM,NI_CAGR_4Y_pct,Rev_CAGR_3Y_pct,DivYield_pct,ROE_pct,OPM_pct,FCF_Cr
RELIANCE.NS,1729449.95,55.21,6.81,8.32,47.0,16.66,12.33,69197.0
BHARTIARTL.NS,1184221.99,44.41,47.34,18.6,124.0,19.36,32.77,75515.4
HDFCBANK.NS,1144284.98,44.84,20.39,40.27,174.0,13.84,33.29,112922.01
ICICIBANK.NS,1027858.86,77.32,16.78,17.72,84.0,16.07,38.51,63595.42
SBIN.NS,936907.69,91.13,14.39,8.61,171.0,15.48,28.96,29734.43
TCS.NS,815625.46,137.71,5.3,5.28,290.0,47.74,23.96,47948.0
LT.NS,520796.03,116.81,15.38,13.89,100.0,16.95,10.71,11931.78
HINDUNILVR.NS,503987.36,45.18,1.66,2.27,204.0,21.6,21.14,9638.0
SUNPHARMA.NS,465734.89,47.87,10.65,10.41,82.0,14.72,19.23,8809.81
INFY.NS,421577.36,78.03,3.58,4.21,477.0,32.0,21.09,373.3
ADANIPORTS.NS,407409.08,58.16,34.11,20.42,42.0,15.59,41.18,5035.94
M&M.NS,379608.97,152.12,18.48,19.24,102.0,18.75,17.09,2051.91
ITC.NS,355147.79,16.51,2.54,7.73,569.0,29.34,36.41,16281.42
ULTRACEMCO.NS,348473.34,290.56,17.26,11.88,202.0,12.14,15.48,5638.09
HCLTECH.NS,343902.94,64.23,3.87,8.81,485.0,24.07,16.88,18553.0
NTPC.NS,336668.29,30.43,19.43,2.97,326.0,13.69,18.43,6852.03
BAJAJ-AUTO.NS,310829.46,420.87,21.03,17.44,133.0,32.32,21.51,1874.28
HAL.NS,305857.53,136.4,16.08,8.4,44.0,23.98,26.95,8357.23
JSWSTEEL.NS,302857.82,99.74,75.28,2.7,57.0,23.0,15.3,10498.0
BEL.NS,296046.03,8.31,26.64,17.77,107.0,27.56,27.47,556.01
POWERGRID.NS,268043.42,20.14,7.22,2.82,423.0,16.49,49.47,3651.47
ASIANPAINT.NS,252880.77,45.1,1.75,0.21,103.0,20.89,16.14,5600.86
HINDZINC.NS,224765.86,32.72,9.58,18.14,395.0,76.94,53.36,11733.0
EICHERMOT.NS,209386.72,200.76,23.7,18.97,106.0,23.77,21.09,3529.58
DIVISLAB.NS,192424.9,96.43,12.08,15.92,41.0,16.19,28.75,218.0
TORNTPHARM.NS,188719.52,63.82,20.22,14.11,75.0,16.99,20.2,2345.32
WIPRO.NS,175211.23,12.59,5.16,1.58,458.0,16.13,15.7,13371.3
PIDILITIND.NS,159884.69,23.93,24.36,8.6,74.0,23.52,21.12,2235.68
ABB.NS,156293.02,73.02,17.63,12.26,52.0,21.36,11.5,979.56
CUMMINSIND.NS,155245.86,85.1,24.35,16.13,118.0,29.45,13.44,1482.55
VBL.NS,154646.3,9.41,26.57,15.49,44.0,16.85,18.49,770.21
TRENT.NS,154130.79,32.2,56.97,27.53,14.0,27.13,11.12,904.77
BSE.NS,144786.6,60.49,124.15,87.77,28.0,36.0,67.7,2588.52
POWERINDIA.NS,138486.34,221.25,119.12,24.65,2.0,21.04,15.28,735.0
POLYCAB.NS,134178.17,189.42,28.11,26.16,53.0,25.55,12.72,2330.15
BRITANNIA.NS,129575.09,105.07,2.95,6.76,168.0,53.31,16.49,2406.03
BANKBARODA.NS,127448.23,38.37,10.01,5.01,350.0,12.74,38.45,31610.09
PNB.NS,126859.1,19.22,76.44,6.45,272.0,15.22,29.4,24010.83
APOLLOHOSP.NS,126609.58,134.7,33.34,15.65,23.0,21.5,11.91,893.7
BOSCHLTD.NS,123160.97,941.95,24.84,9.38,64.0,19.35,12.47,1858.8
BAJAJHLDNG.NS,118850.34,865.77,25.71,6.71,150.0,12.62,42.43,4780.31
LODHA.NS,114287.23,34.28,91.69,26.39,37.0,15.71,30.38,709.1
CIPLA.NS,113954.65,41.65,11.45,4.36,93.0,14.06,12.55,860.71
INDIANB.NS,111272.7,94.89,28.07,8.86,221.0,16.17,48.04,18361.36
MARICO.NS,110875.93,13.57,10.61,18.96,47.0,41.39,13.98,1765.0
