Ticker,Date,Close,SSF50,SSF200,SSF250,RSI14,RSI_MA14,buy_signal,exit_signal,Signal
RELIANCE.NS,2026-02,1393.9,1394.58,1035.76,890.24,,,False,False,HOLD
HDFCBANK.NS,2026-02,887.75,900.91,703.06,634.53,,,False,False,HOLD
BHARTIARTL.NS,2026-02,1879.3,1733.58,819.99,699.89,,,False,False,HOLD
SBIN.NS,2026-02,1201.7,820.59,484.27,425.59,,,False,False,HOLD
ICICIBANK.NS,2026-02,1378.9,1312.76,771.9,660.96,,,False,False,HOLD
TCS.NS,2026-02,2637.4,3481.54,2822.59,2491.38,,,False,False,HOLD
LT.NS,2026-02,4278.3,3680.21,2097.12,1820.74,,,False,False,HOLD
HINDUNILVR.NS,2026-02,2338.1,2410.79,2161.5,1937.39,,,False,False,HOLD
INFY.NS,2026-02,1300.1,1586.24,1215.39,1056.75,,,False,False,HOLD
AXISBANK.NS,2026-02,1383.9,1157.33,840.03,772.14,,,False,False,HOLD
SUNPHARMA.NS,2026-02,1737.0,1694.7,945.36,845.02,,,False,False,HOLD
KOTAKBANK.NS,2026-02,415.2,390.04,347.83,321.49,,,False,False,HOLD
ITC.NS,2026-02,313.6,416.07,275.32,248.84,,,False,False,HOLD
HCLTECH.NS,2026-02,1389.1,1573.25,952.58,812.04,,,False,False,HOLD
ADANIPORTS.NS,2026-02,1521.0,1339.08,768.25,665.07,,,False,False,HOLD
HAL.NS,2026-02,3913.2,4360.96,1424.16,939.13,,,False,False,HOLD
EICHERMOT.NS,2026-02,8010.5,5473.03,3208.53,2879.67,,,False,False,HOLD
TVSMOTOR.NS,2026-02,3869.7,2797.71,1172.38,960.36,,,False,False,HOLD
BANKBARODA.NS,2026-02,321.95,248.47,142.33,136.82,,,False,False,HOLD
UNIONBANK.NS,2026-02,202.27,133.92,70.69,76.8,,,False,False,HOLD
PIDILITIND.NS,2026-02,1492.0,1485.19,1085.6,937.89,,,False,False,HOLD
PNB.NS,2026-02,129.44,109.25,67.01,77.37,,,False,False,HOLD
TORNTPHARM.NS,2026-02,4333.3,3305.22,1706.33,1447.49,,,False,False,HOLD
BRITANNIA.NS,2026-02,6002.5,5471.58,3884.61,3413.37,,,False,False,HOLD
CANBK.NS,2026-02,157.37,110.45,56.66,54.22,,,False,False,HOLD
TRENT.NS,2026-02,3899.5,5484.3,1998.85,1539.79,,,False,False,HOLD
CUMMINSIND.NS,2026-02,4898.3,3487.75,1504.07,1267.93,,,False,False,HOLD
IRFC.NS,2026-02,103.55,139.79,62.65,57.02,,,False,False,HOLD
LTIM.NS,2026-02,4504.0,5334.29,3930.14,3137.48,,,False,False,HOLD
INDIANB.NS,2026-02,990.5,624.58,274.5,242.16,,,False,False,HOLD
POLYCAB.NS,2026-02,8610.5,6571.97,2758.03,2000.43,,,False,False,HOLD
ABB.NS,2026-02,6073.0,6187.08,3122.32,2559.46,,,False,False,HOLD
IDBI.NS,2026-02,116.01,88.19,50.07,47.91,,,False,False,HOLD
GODREJCP.NS,2026-02,1217.5,1203.25,896.29,809.78,,,False,False,HOLD
SOLARINDS.NS,2026-02,13504.0,12114.07,4255.66,3319.73,,,False,False,HOLD
HDFCAMC.NS,2026-02,2698.6,2274.31,71.79,-1311.92,,,False,False,HOLD
HEROMOTOCO.NS,2026-02,5710.0,4607.2,2916.45,2714.88,,,False,False,HOLD
CGPOWER.NS,2026-02,725.2,674.86,268.01,210.45,,,False,False,HOLD
TATACONSUM.NS,2026-02,1141.0,1088.32,701.93,588.3,,,False,False,HOLD
APOLLOHOSP.NS,2026-02,7821.5,6954.39,4046.7,3393.91,,,False,False,HOLD
BSE.NS,2026-02,2707.1,1884.17,459.53,361.66,,,False,False,HOLD
